## memory, data ready
## threads ready
# starting GA
37765: pop m=80.882714 v=66.290041 f=48.193103; best m=82.857143 v=0.122449 f=81.142857
37989: pop m=80.811286 v=66.909633 f=47.968618; best m=82.857143 v=0.122449 f=81.142857
38207: pop m=80.959571 v=66.445878 f=48.096231; best m=82.857143 v=0.122449 f=81.142857
38423: pop m=80.858000 v=65.572367 f=48.825332; best m=82.857143 v=0.122449 f=81.142857
38638: pop m=80.852143 v=66.527184 f=48.122643; best m=82.857143 v=0.122449 f=81.142857
38865: pop m=80.951286 v=67.625837 f=48.134040; best m=82.857143 v=0.122449 f=81.142857
39080: pop m=81.086286 v=66.320000 f=48.746194; best m=82.857143 v=0.122449 f=81.142857
39293: pop m=80.886000 v=67.432653 f=47.751895; best m=82.857143 v=0.122449 f=81.142857
39509: pop m=80.817857 v=67.681714 f=47.540407; best m=82.857143 v=0.122449 f=81.142857
39739: pop m=80.909571 v=65.224204 f=48.476129; best m=82.857143 v=0.122449 f=81.142857
39964: pop m=80.964429 v=65.516490 f=48.798489; best m=82.857143 v=0.122449 f=81.142857
40176: pop m=80.924286 v=65.928286 f=48.431678; best m=82.857143 v=0.122449 f=81.142857
40400: pop m=80.903143 v=69.842939 f=47.528245; best m=82.857143 v=0.122449 f=81.142857
40629: pop m=80.790857 v=67.949347 f=47.869012; best m=82.857143 v=0.122449 f=81.142857
40865: pop m=80.845143 v=68.926735 f=47.407676; best m=82.857143 v=0.122449 f=81.142857
41090: pop m=80.940143 v=67.885143 f=47.969178; best m=82.857143 v=0.122449 f=81.142857
41313: pop m=81.118571 v=68.064653 f=48.479237; best m=82.857143 v=0.122449 f=81.142857
41537: pop m=80.780857 v=66.002531 f=48.476331; best m=82.857143 v=0.122449 f=81.142857
41775: pop m=80.764286 v=64.552857 f=48.178811; best m=82.857143 v=0.122449 f=81.142857
42009: pop m=80.951571 v=66.736204 f=48.376548; best m=82.857143 v=0.122449 f=81.142857
42242: pop m=80.968143 v=63.453184 f=48.802565; best m=82.857143 v=0.122449 f=81.142857
42454: pop m=81.071286 v=66.155388 f=48.610280; best m=82.857143 v=0.122449 f=81.142857
42672: pop m=80.837429 v=65.901837 f=48.586113; best m=82.857143 v=0.122449 f=81.142857
42899: pop m=80.796143 v=66.214776 f=47.931082; best m=82.857143 v=0.122449 f=81.142857
43115: pop m=80.901000 v=66.392898 f=48.127331; best m=82.857143 v=0.122449 f=81.142857
43324: pop m=80.935143 v=66.703918 f=47.590187; best m=82.857143 v=0.122449 f=81.142857
43553: pop m=80.952000 v=65.936490 f=48.626632; best m=82.857143 v=0.122449 f=81.142857
43770: pop m=80.826286 v=68.544531 f=47.771696; best m=82.857143 v=0.122449 f=81.142857
43984: pop m=81.027286 v=64.465224 f=48.595127; best m=82.857143 v=0.122449 f=81.142857
44200: pop m=80.988714 v=63.870082 f=48.713592; best m=82.857143 v=0.122449 f=81.142857
44413: pop m=81.000571 v=65.991020 f=48.342427; best m=82.857143 v=0.122449 f=81.142857
44627: pop m=80.915714 v=69.027714 f=47.562719; best m=82.857143 v=0.122449 f=81.142857
44842: pop m=80.858857 v=67.164041 f=47.910119; best m=82.857143 v=0.122449 f=81.142857
45065: pop m=81.019286 v=67.097469 f=48.400648; best m=82.857143 v=0.122449 f=81.142857
45290: pop m=80.938286 v=65.385510 f=48.783909; best m=82.857143 v=0.122449 f=81.142857
45513: pop m=80.903000 v=67.297184 f=47.966969; best m=82.857143 v=0.122449 f=81.142857
45747: pop m=80.834714 v=67.451061 f=47.773946; best m=82.857143 v=0.122449 f=81.142857
45966: pop m=80.841286 v=68.862408 f=47.636647; best m=82.857143 v=0.122449 f=81.142857
46184: pop m=81.009000 v=67.577714 f=48.093373; best m=82.857143 v=0.122449 f=81.142857
46400: pop m=80.768429 v=64.559347 f=48.554219; best m=82.857143 v=0.122449 f=81.142857
46622: pop m=81.002000 v=66.478939 f=48.324833; best m=82.857143 v=0.122449 f=81.142857
46860: pop m=80.940571 v=68.484204 f=47.626341; best m=82.857143 v=0.122449 f=81.142857
47089: pop m=80.944714 v=67.145673 f=47.828775; best m=82.857143 v=0.122449 f=81.142857
47328: pop m=80.840571 v=68.799959 f=47.619953; best m=82.857143 v=0.122449 f=81.142857
47552: pop m=80.886571 v=68.112122 f=47.575683; best m=82.857143 v=0.122449 f=81.142857
47780: pop m=80.845143 v=65.744898 f=48.545399; best m=82.857143 v=0.122449 f=81.142857
48002: pop m=80.872429 v=66.708939 f=48.581189; best m=82.857143 v=0.122449 f=81.142857
48221: pop m=80.722000 v=68.889347 f=47.323460; best m=82.857143 v=0.122449 f=81.142857
48434: pop m=80.799286 v=68.419184 f=47.570110; best m=82.857143 v=0.122449 f=81.142857
48654: pop m=80.842857 v=64.777633 f=48.890371; best m=82.857143 v=0.122449 f=81.142857
48880: pop m=80.845000 v=65.770327 f=48.239305; best m=82.857143 v=0.122449 f=81.142857
49101: pop m=81.024571 v=68.212898 f=47.842566; best m=82.857143 v=0.122449 f=81.142857
49315: pop m=80.963714 v=65.653551 f=48.361393; best m=82.857143 v=0.122449 f=81.142857
49540: pop m=80.968000 v=67.100408 f=47.892252; best m=82.857143 v=0.122449 f=81.142857
49765: pop m=80.924429 v=68.794367 f=47.946836; best m=82.857143 v=0.122449 f=81.142857
49987: pop m=80.939286 v=69.443633 f=47.888245; best m=82.857143 v=0.122449 f=81.142857
50207: pop m=80.799000 v=68.788776 f=47.882805; best m=82.857143 v=0.122449 f=81.142857
50430: pop m=80.858143 v=69.744571 f=47.559859; best m=82.857143 v=0.122449 f=81.142857
50653: pop m=80.892286 v=66.464571 f=48.234421; best m=82.857143 v=0.122449 f=81.142857
50880: pop m=80.790429 v=68.159102 f=47.599883; best m=82.857143 v=0.122449 f=81.142857
51107: pop m=81.002857 v=67.146531 f=48.343436; best m=82.857143 v=0.122449 f=81.142857
51322: pop m=80.948000 v=64.151633 f=48.902354; best m=82.857143 v=0.122449 f=81.142857
51551: pop m=80.875571 v=68.056204 f=47.437525; best m=82.857143 v=0.122449 f=81.142857
51765: pop m=80.786571 v=65.989143 f=47.962785; best m=82.857143 v=0.122449 f=81.142857
51987: pop m=80.968857 v=66.251388 f=48.310896; best m=82.857143 v=0.122449 f=81.142857
52209: pop m=80.764571 v=65.417633 f=47.951505; best m=82.857143 v=0.122449 f=81.142857
52421: pop m=80.816286 v=63.887306 f=48.389988; best m=82.857143 v=0.122449 f=81.142857
52630: pop m=80.894714 v=67.398327 f=48.171285; best m=82.857143 v=0.122449 f=81.142857
52846: pop m=80.911571 v=64.978980 f=48.226022; best m=82.857143 v=0.122449 f=81.142857
53068: pop m=80.970714 v=67.209755 f=47.969234; best m=82.857143 v=0.122449 f=81.142857
53295: pop m=80.828714 v=66.516449 f=48.111529; best m=82.857143 v=0.122449 f=81.142857
53505: pop m=80.928143 v=66.409714 f=48.283772; best m=82.857143 v=0.122449 f=81.142857
53747: pop m=80.952286 v=67.523143 f=48.321662; best m=82.857143 v=0.122449 f=81.142857
53974: pop m=80.959857 v=69.206408 f=47.712419; best m=82.857143 v=0.122449 f=81.142857
54186: pop m=80.852714 v=67.059184 f=47.889621; best m=82.857143 v=0.122449 f=81.142857
54399: pop m=80.734429 v=66.002939 f=47.895967; best m=82.857143 v=0.122449 f=81.142857
54615: pop m=80.805857 v=68.434000 f=47.668802; best m=82.857143 v=0.122449 f=81.142857
54832: pop m=80.860286 v=65.266571 f=48.267229; best m=82.857143 v=0.122449 f=81.142857
55036: pop m=80.973000 v=67.838245 f=47.643432; best m=82.857143 v=0.122449 f=81.142857
55257: pop m=80.833143 v=67.857469 f=48.198785; best m=82.857143 v=0.122449 f=81.142857
55470: pop m=80.824714 v=66.955102 f=48.270758; best m=82.857143 v=0.122449 f=81.142857
55698: pop m=80.949857 v=68.307306 f=47.753275; best m=82.857143 v=0.122449 f=81.142857
55912: pop m=80.979714 v=67.386163 f=47.956328; best m=82.857143 v=0.122449 f=81.142857
56128: pop m=80.817000 v=67.334204 f=47.928280; best m=82.857143 v=0.122449 f=81.142857
56346: pop m=80.896714 v=67.558286 f=47.788076; best m=82.857143 v=0.122449 f=81.142857
56563: pop m=80.802429 v=67.244163 f=47.750348; best m=82.857143 v=0.122449 f=81.142857
56801: pop m=80.765857 v=65.172735 f=48.495827; best m=82.857143 v=0.122449 f=81.142857
57032: pop m=80.794000 v=65.239306 f=48.677150; best m=82.857143 v=0.122449 f=81.142857
57249: pop m=80.820000 v=64.956980 f=49.033061; best m=82.857143 v=0.122449 f=81.142857
57467: pop m=80.791429 v=65.149959 f=48.357612; best m=82.857143 v=0.122449 f=81.142857
57691: pop m=80.834571 v=68.006082 f=48.131242; best m=82.857143 v=0.122449 f=81.142857
57912: pop m=80.831429 v=67.512408 f=47.842711; best m=82.857143 v=0.122449 f=81.142857
58133: pop m=81.040857 v=66.588286 f=48.120020; best m=82.857143 v=0.122449 f=81.142857
58356: pop m=80.911857 v=68.121224 f=48.167011; best m=82.857143 v=0.122449 f=81.142857
58562: pop m=81.015714 v=65.062122 f=48.355130; best m=82.857143 v=0.122449 f=81.142857
