## memory, data ready
## threads ready
# starting GA
0: pop m=165.464263 v=2300.896366 f=-183.230153; best m=165.736842 v=531.772853 f=-3.720333
44478: pop m=175.148737 v=177.189324 f=103.870443; best m=175.578947 v=0.243767 f=171.950803
44800: pop m=175.061789 v=175.251994 f=103.699441; best m=175.578947 v=0.243767 f=171.950803
45124: pop m=175.039316 v=189.010338 f=100.943605; best m=175.578947 v=0.243767 f=171.950803
45447: pop m=174.989789 v=188.659440 f=99.763758; best m=175.578947 v=0.243767 f=171.950803
45770: pop m=175.010000 v=185.260842 f=102.076622; best m=175.578947 v=0.243767 f=171.950803
46094: pop m=175.055158 v=182.838404 f=102.669478; best m=175.578947 v=0.243767 f=171.950803
46419: pop m=174.998737 v=191.299795 f=100.062427; best m=175.578947 v=0.243767 f=171.950803
46742: pop m=175.091579 v=183.274693 f=102.201246; best m=175.578947 v=0.243767 f=171.950803
47066: pop m=175.008789 v=184.302416 f=101.266655; best m=175.578947 v=0.243767 f=171.950803
47389: pop m=174.980789 v=192.394681 f=99.389132; best m=175.578947 v=0.243767 f=171.950803
47712: pop m=175.097474 v=187.708393 f=100.434229; best m=175.578947 v=0.243767 f=171.950803
48035: pop m=175.057789 v=182.243357 f=102.174134; best m=175.578947 v=0.243767 f=171.950803
48356: pop m=175.050684 v=181.905557 f=101.925810; best m=175.578947 v=0.243767 f=171.950803
48679: pop m=175.044632 v=173.030238 f=104.652966; best m=175.578947 v=0.243767 f=171.950803
49003: pop m=175.175316 v=177.663773 f=103.671829; best m=175.578947 v=0.243767 f=171.950803
49327: pop m=175.047000 v=185.948499 f=101.190243; best m=175.578947 v=0.243767 f=171.950803
49650: pop m=175.124316 v=192.756493 f=99.936888; best m=175.578947 v=0.243767 f=171.950803
49976: pop m=175.105000 v=191.365529 f=99.701767; best m=175.578947 v=0.243767 f=171.950803
50313: pop m=174.996368 v=179.946560 f=103.350755; best m=175.578947 v=0.243767 f=171.950803
50683: pop m=175.053842 v=181.893906 f=103.133925; best m=175.578947 v=0.243767 f=171.950803
51006: pop m=175.059526 v=193.540643 f=99.725193; best m=175.578947 v=0.243767 f=171.950803
51328: pop m=175.204316 v=177.288488 f=104.445844; best m=175.578947 v=0.243767 f=171.950803
51655: pop m=175.095895 v=184.514155 f=101.674977; best m=175.578947 v=0.243767 f=171.950803
51978: pop m=174.984632 v=192.742238 f=99.850101; best m=175.578947 v=0.243767 f=171.950803
52304: pop m=175.094316 v=183.592698 f=102.640162; best m=175.578947 v=0.243767 f=171.950803
52630: pop m=175.104000 v=186.420294 f=101.178749; best m=175.578947 v=0.243767 f=171.950803
52952: pop m=175.121684 v=171.728632 f=104.795330; best m=175.578947 v=0.243767 f=171.950803
53276: pop m=175.083737 v=190.678693 f=99.498998; best m=175.578947 v=0.243767 f=171.950803
53602: pop m=175.159842 v=174.410875 f=104.459603; best m=175.578947 v=0.243767 f=171.950803
53926: pop m=175.058158 v=194.056166 f=100.452976; best m=175.578947 v=0.243767 f=171.950803
54250: pop m=175.039000 v=185.132720 f=102.807720; best m=175.578947 v=0.243767 f=171.950803
54576: pop m=175.074632 v=170.431562 f=104.707974; best m=175.578947 v=0.243767 f=171.950803
54901: pop m=175.028211 v=192.696299 f=99.398366; best m=175.578947 v=0.243767 f=171.950803
55223: pop m=174.995053 v=179.467695 f=103.457308; best m=175.578947 v=0.243767 f=171.950803
55547: pop m=175.010947 v=193.123208 f=99.706292; best m=175.578947 v=0.243767 f=171.950803
55871: pop m=174.980684 v=184.988404 f=102.128767; best m=175.578947 v=0.243767 f=171.950803
56194: pop m=175.126632 v=169.018460 f=104.903778; best m=175.578947 v=0.243767 f=171.950803
56517: pop m=175.097526 v=179.048870 f=101.921252; best m=175.578947 v=0.243767 f=171.950803
56841: pop m=175.110474 v=182.712166 f=102.897075; best m=175.578947 v=0.243767 f=171.950803
57166: pop m=175.040895 v=168.401402 f=104.448325; best m=175.578947 v=0.243767 f=171.950803
57491: pop m=175.095526 v=186.098903 f=101.121253; best m=175.578947 v=0.243767 f=171.950803
57816: pop m=175.027895 v=182.513961 f=104.280264; best m=175.578947 v=0.243767 f=171.950803
58145: pop m=175.072053 v=178.405418 f=103.264282; best m=175.578947 v=0.243767 f=171.950803
58467: pop m=174.996579 v=178.618144 f=102.454749; best m=175.578947 v=0.243767 f=171.950803
58791: pop m=175.066316 v=188.616006 f=100.562906; best m=175.578947 v=0.243767 f=171.950803
59114: pop m=175.055895 v=177.850881 f=103.609474; best m=175.578947 v=0.243767 f=171.950803
59436: pop m=175.012105 v=181.427806 f=102.634626; best m=175.578947 v=0.243767 f=171.950803
59766: pop m=175.064947 v=175.010571 f=102.676979; best m=175.578947 v=0.243767 f=171.950803
60138: pop m=175.129579 v=167.531368 f=105.130864; best m=175.578947 v=0.243767 f=171.950803
60463: pop m=175.002789 v=183.631452 f=101.876161; best m=175.578947 v=0.243767 f=171.950803
60785: pop m=175.123579 v=179.389501 f=102.648384; best m=175.578947 v=0.243767 f=171.950803
61109: pop m=175.074158 v=189.032892 f=100.469350; best m=175.578947 v=0.243767 f=171.950803
61432: pop m=174.950316 v=176.798382 f=103.421491; best m=175.578947 v=0.243767 f=171.950803
61755: pop m=174.945632 v=188.789319 f=100.594878; best m=175.578947 v=0.243767 f=171.950803
62080: pop m=175.008263 v=192.331357 f=100.491671; best m=175.578947 v=0.243767 f=171.950803
62405: pop m=175.093684 v=178.362488 f=103.783209; best m=175.578947 v=0.243767 f=171.950803
62731: pop m=175.035211 v=181.331291 f=102.900119; best m=175.578947 v=0.243767 f=171.950803
